Word	Annotation	Sense	Part of Speech	Level	English
aufsagen, sagt auf, sagte auf, hat aufgesagt	aufsagen, sagt auf, sagte auf, hat aufgesagt		verb	B2+	to recite, refuse to serve
bergen, birgt, barg, hat geborgen	bergen, birgt, barg, hat geborgen		verb	B2+	to rescue, hide
erwachen, erwacht, erwachte, ist erwacht	erwachen, erwacht, erwachte, ist erwacht		verb	B2+	to wake up
Nebel	der Nebel, -		der	B1	fog
Terroranschlag	der Terroranschlag, -̈e		der	B2+	terrorist attack
andeuten, deutet an, deutete an, hat angedeutet	andeuten, deutet an, deutete an, hat angedeutet		verb	B2+	to suggest, indicate
deutschsprachig	deutschsprachig		adj	B2+	German-speaking
Embryo	der Embryo, -ne		der	B2+	embryo
Muskulatur	die Muskulatur, -en		die	B2+	musculature
Rückstand	der Rückstand, -̈e		der	B2+	backlog, deficit
entfalten, entfaltet, entfaltete, hat entfaltet	entfalten, entfaltet, entfaltete, hat entfaltet		verb	B2+	to unfold, develop
Ermittler	der Ermittler, -		der	B2+	investigator
hässlich	hässlich		adj	A2	ugly
Hypothese	die Hypothese, -n		die	B2+	hypothesis
unverändert	unverändert		adj	B2+	unchanged
woran	woran		pron	B2+	on what, of what
hereinkommen, kommt herein, kam herein, ist hereingekommen	hereinkommen, kommt herein, kam herein, ist hereingekommen (reinkommen)		verb	B2+	to come in
heulen, heult, heulte, hat geheult	heulen, heult, heulte, hat geheult		verb	B2+	to howl, wail, cry
zurücktreten, tritt zurück, trat zurück, ist zurückgetreten	zurücktreten, tritt zurück, trat zurück, ist zurückgetreten		verb	B2+	to step back, resign
demnächst	demnächst		adv	B2+	shortly
einschlagen, schlägt ein, schlug ein, hat eingeschlagen	einschlagen, schlägt ein, schlug ein, hat eingeschlagen		verb	B2+	to hammer in, smash, take
Rock	der Rock, -̈e		der	A2	skirt, rock music
Übernahme	die Übernahme, -n		die	B2+	takeover
akademisch	akademisch		adj	B2+	academic
aufwendig	aufwendig		adj	B2+	extravagant, costly
einschätzen, schätzt ein, schätzte ein, hat eingeschätzt	einschätzen, schätzt ein, schätzte ein, hat eingeschätzt		verb	B2+	to judge, assess
Kapazität	die Kapazität, -en		die	B2+	capacity
Regierungschef	der Regierungschef, -s		der	B2+	head of government
regnen, regnet, regnete, hat geregnet	regnen, regnet, regnete, hat geregnet		verb	A1	to rain
Rohstoff	der Rohstoff, -e		der	B2+	raw material
beten, betet, betete, hat gebetet	beten, betet, betete, hat gebetet		verb	B2+	to pray
Fokus	der Fokus, -se		der	B2+	focus
hocken, hockt, hockte, hat gehockt	hocken, hockt, hockte, hat gehockt		verb	B2+	to squat, crouch
Informationssystem	das Informationssystem, -e		das	B2+	information system
liberal	liberal		adj	B2+	liberal
musikalisch	musikalisch		adj	B1	musical
Pfarrer	der Pfarrer, -		der	B2+	pastor
Provinz	die Provinz, -en		die	B2+	province
Trauer	die Trauer		die	B2+	grief
Aufsichtsrat	der Aufsichtsrat, -̈e		der	B2+	supervisory board
Gerücht	das Gerücht, -e		das	B2+	rumor
kriechen, kriecht, kroch, ist gekrochen	kriechen, kriecht, kroch, ist gekrochen		verb	B2+	to crawl
Sofa	das Sofa, -s		das	A1	sofa, couch
Urlauber	der Urlauber, -		der	B2+	vacationer
abwenden, wendet ab, wendete ab, hat abgewendet	abwenden, wendet ab, wendete ab, hat abgewendet		verb	B2+	to turn away, avert
Aufführung	die Aufführung, -en		die	B2+	performance
Huhn	das Huhn, -̈er		das	B2+	hen, chicken
Relation	die Relation, -en		die	B2+	proportion, relation
ruhen, ruht, ruhte, hat geruht	ruhen, ruht, ruhte, hat geruht		verb	B2+	to rest
Steigerung	die Steigerung, -en		die	B2+	increase
Vorfall	der Vorfall, -̈e		der	B2+	incident
Vorfeld	das Vorfeld, -er		das	B2+	advance
Ankunft	die Ankunft, -̈e		die	A1	arrival
Auflösung	die Auflösung, -en		die	B2+	dissolving, dissolution, breaking up
ausweichen, weicht aus, wich aus, ist ausgewichen	ausweichen, weicht aus, wich aus, ist ausgewichen		verb	B2+	to make way, evade, avoid
Paket	das Paket, -e		das	A2	parcel, package
putzen, putzt, putzte, hat geputzt	putzen, putzt, putzte, hat geputzt		verb	A2	to clean
variabel	variabel		adj	B2+	variable
zuführen, führt zu, führte zu, hat zugeführt	zuführen, führt zu, führte zu, hat zugeführt		verb	B2+	to lead to sth, supply
Akademie	die Akademie, -n		die	B2+	academy
Ausgangspunkt	der Ausgangspunkt, -e		der	B2+	starting point
Berater	der Berater, -		der	B2+	advisor, consultant
erregen, erregt, erregte, hat erregt	erregen, erregt, erregte, hat erregt		verb	B2+	to arouse, attract, excite
letztendlich	letztendlich		adv	B2+	ultimately
proportional	proportional		adj	B2+	proportional
